POBLACIONES ECUATORIANAS Y VALOR DEL FACTOR Z
Tabla 19 - NEC (Norma Ecuatoriana de la Construcción)
================================================================================
POBLACIÓN                        PARROQUIA                        CANTÓN                    PROVINCIA            Z
--------------------------------------------------------------------------------
CUENCA                           CUENCA                           CUENCA                    AZUAY                0.25
CHORDELEG                        CHORDELEG                        CHORDELEG                 AZUAY                0.25
GUALACEO                         GUALACEO                         GUALACEO                  AZUAY                0.25
SEVILLA DE ORO                   SEVILLA DE ORO                   SEVILLA DE ORO            AZUAY                0.25
EL PAN                           EL PAN                           EL PAN                    AZUAY                0.25
PAUTE                            CHICAN (GUILLERMO ORTEGA)        PAUTE                     AZUAY                0.25
GUARANDA                         GUARANDA                         GUARANDA                  BOLIVAR              0.35
SAN LORENZO                      SAN LORENZO                      GUARANDA                  BOLIVAR              0.35
SANTIAGO                         SANTIAGO                         SAN MIGUEL                BOLIVAR              0.35
SAN JOSE DEL TAMBO               SAN JOSE DEL TAMBO               CHILLANES                 BOLIVAR              0.35
SAN SIMON                        SAN SIMON (YACOTO)               GUARANDA                  BOLIVAR              0.35
SAN MIGUEL DE BOLIVAR            SAN MIGUEL                       SAN MIGUEL                BOLIVAR              0.35
SAN JOSE DE CHIMBO               SAN JOSE DE CHIMBO               CHIMBO                    BOLIVAR              0.35
SIMIATUG                         SIMIATUG                         GUARANDA                  BOLIVAR              0.30
SAN LUIS DE PAMBIL               SAN LUIS DE PAMBIL               GUARANDA                  BOLIVAR              0.30
FACUNDO VELA                     FACUNDO VELA                     GUARANDA                  BOLIVAR              0.30
LAS MERCEDES                     LAS NAVES                        LAS NAVES                 BOLIVAR              0.30
LAS NAVES                        LAS NAVES                        LAS NAVES                 BOLIVAR              0.30
SAN LUIS DE LAS MERCEDES         SAN LUIS DE PAMBIL               GUARANDA                  BOLIVAR              0.30
ECHEANDIA                        ECHEANDIA                        ECHEANDIA                 BOLIVAR              0.30
CHILLANES                        CHILLANES                        CHILLANES                 BOLIVAR              0.40
CAÑAR                            CAÑAR                            CAÑAR                     CAÑAR                0.30
EL TAMBO                         EL TAMBO                         EL TAMBO                  CAÑAR                0.30
LA PUNTILLA                      PANCHO NEGRO                     LA TRONCAL                CAÑAR                0.40
LA TRONCAL                       LA TRONCAL                       LA TRONCAL                CAÑAR                0.40
DELEG                            DELEG                            DELEG                     CAÑAR                0.25
AZOGUES                          AZOGUES                          AZOGUES                   CAÑAR                0.25
BIBLIAN                          BIBLIAN                          BIBLIAN                   CAÑAR                0.25
HUACA                            HUACA                            SAN PEDRO DE HUACA        CARCHI               0.40
EL PLAYON DE SAN FRANCISCO       EL CARMELO (EL PUN)              TULCAN                    CARCHI               0.40
MARISCAL SUCRE                   MARISCAL SUCRE                   SAN PEDRO DE HUACA        CARCHI               0.40
TULCAN                           TULCAN                           TULCAN                    CARCHI               0.40
EL ANGEL                         EL ANGEL                         ESPEJO                    CARCHI               0.40
SAN GABRIEL                      SAN GABRIEL                      MONTUFAR                  CARCHI               0.40
EL CARMELO                       EL CARMELO (EL PUN)              TULCAN                    CARCHI               0.40
LA LIBERTAD                      LA LIBERTAD (ALIZO)              ESPEJO                    CARCHI               0.40
JULIO ANDRADE                    JULIO ANDRADE (OREJUELA)         TULCAN                    CARCHI               0.40
LA PAZ                           LA PAZ                           MONTUFAR                  CARCHI               0.40
SAN ISIDRO                       SAN ISIDRO                       ESPEJO                    CARCHI               0.40
SAN JOSE DE TINAJILLAS           GARCIA MORENO                    BOLIVAR                   CARCHI               0.40
SANTA MARTHA DE CUBA             SANTA MARTHA DE CUBA             TULCAN                    CARCHI               0.40
GARCIA MORENO                    GARCIA MORENO                    BOLIVAR                   CARCHI               0.40
MONTE OLIVO                      MONTE OLIVO                      BOLIVAR                   CARCHI               0.40
PIQUIUCHO                        LOS ANDES                        BOLIVAR                   CARCHI               0.40
PUEBLO NUEVO                     SAN RAFAEL                       BOLIVAR                   CARCHI               0.40
PUSIR                            SAN VICENTE DE PUSIR             BOLIVAR                   CARCHI               0.40
LOS ANDES                        LOS ANDES                        BOLIVAR                   CARCHI               0.40
FERNANDEZ SALVADOR               FERNANDEZ SALVADOR               MONTUFAR                  CARCHI               0.40
SAN VICENTE DE PUSIR             SAN VICENTE DE PUSIR             BOLIVAR                   CARCHI               0.40
MIRA                             MIRA (CHONTAHUASI)               MIRA                      CARCHI               0.40
BOLIVAR                          BOLIVAR                          BOLIVAR                   CARCHI               0.40
TUFIÑO                           TUFIÑO                           TULCAN                    CARCHI               0.40
CALPI                            CALPI                            COLTA                     CHIMBORAZO           0.35
PALLATANGA                       PALLATANGA                       PALLATANGA                CHIMBORAZO           0.40
PUNGAL GRANDE                    GUANO                            GUANO                     CHIMBORAZO           0.40
GUANO                            GUANO                            GUANO                     CHIMBORAZO           0.40
PENIPE                           PENIPE                           PENIPE                    CHIMBORAZO           0.40
SAN ANDRES                       SAN ANDRES                       GUANO                     CHIMBORAZO           0.40
SAN ISIDRO DE PATULU             SAN ISIDRO DE PATULU             GUANO                     CHIMBORAZO           0.40
VALPARAISO                       VALPARAISO                       GUANO                     CHIMBORAZO           0.40
SAN JOSE DE CHAZO                SAN JOSE DEL CHAZO               GUANO                     CHIMBORAZO           0.40
GUANANDO                         GUANANDO                         GUANO                     CHIMBORAZO           0.40
CALPI                            CALPI                            RIOBAMBA                  CHIMBORAZO           0.40
LICIN                            RIOBAMBA                         RIOBAMBA                  CHIMBORAZO           0.40
QUIMIAG                          QUIMIAG                          RIOBAMBA                  CHIMBORAZO           0.40
ASUNCION                         CALPI                            RIOBAMBA                  CHIMBORAZO           0.40
MACAJA                           RIOBAMBA                         RIOBAMBA                  CHIMBORAZO           0.40
PUELA                            PUELA                            PENIPE                    CHIMBORAZO           0.40
RIOBAMBA                         GUANO                            GUANO                     CHIMBORAZO           0.40
ILAPO                            ILAPO                            GUANO                     CHIMBORAZO           0.40
SAN GERARDO                      SAN GERARDO DE PACAICAGUAN       GUANO                     CHIMBORAZO           0.40
SAN ANTONIO DE BAYUSHIG          SAN ANTONIO DE BAYUSHIG          PENIPE                    CHIMBORAZO           0.40
SANTA FE DE GALAN                SANTA FE DE GALAN                GUANO                     CHIMBORAZO           0.40
